Key	Type	Desc	Thai
Changelog Entries/ck1127Desc	Text		Bản sửa lỗi khẩn cấp này khắc phục một số nguyên nhân gây crash game sau khi nâng cấp lên engine Unity 6 ở phiên bản 1.1.2.6. Các sửa lỗi này dựa trên báo cáo của người chơi và chúng tôi không chắc có giải quyết được tất cả các lỗi crash hay không. Nếu bạn tiếp tục gặp phải tình trạng crash game, vui lòng liên hệ bằng liên kết cộng đồng ở menu chính của trò chơi.
Changelog Entries/ck1128	Text		CK 1.1.2.8 — Bản sửa lỗi khẩn cấp
Changelog Entries/ck1129	Text		CK 1.1.2.9 — Bản vá ổn định
Changelog Entries/ck1200	Text		Cập nhật lớn 1.2.0.3 - Hư Không & Điện Áp
Changelog Entries/ck1203	Text		1.2.0.3 - Bản sửa lỗi Switch
Changelog Entries/ck1204	Text		1.2.0.4 - Bản sửa lỗi khẩn cấp
Changelog Entries/ck1205	Text		1.2.0.5 - Bản vá ổn định
Changelog Entries/ck1206	Text		1.2.0.6 - Bản vá ổn định
Changelog Entries/ck1207	Text		1.2.0.7 - Bản vá ổn định
Changelog Entries/ck1210	Text		1.2.1.0 - Bản cập nhật nhỏ
Changelog Entries/ck1211	Text		1.2.1.1 - Bản vá ổn định
Changelog Entries/ck1212	Text		1.2.1.2 - Bản sửa lỗi khẩn cấp
Changelog Entries/ck1213	Text		1.2.1.3 - Bản vá ổn định
Changelog Entries/ck121x	Text		1.2.1.x - Bản vá ổn định
Changelog Entries/clientAnimationTriggersPerfDesc	Text		Máy khách (client) hiện nhận và xử lý các kích hoạt hiệu ứng từ máy chủ bằng tiến trình luồng phụ thay vì luồng chính.
Changelog Entries/closeMapGamepadOffhandDesc	Text		"""""""Đóng bản đồ bằng nút ""back"" trên tay cầm không còn kích hoạt hiệu ứng của vật phẩm trang bị tay phụ.""
""
""
"
Changelog Entries/converterReflectionLoadTimeDesc	Text		Cải thiện cách trò chơi tìm kiếm các bộ chuyển đổi (converters), giúp giảm thời gian tải game.
Changelog Entries/coreBossDeathEffectsOffsetDesc	Text		Di chuyển trong lúc hiệu ứng biến mất của Chỉ Huy Lõi đang diễn ra không còn khiến một số hiệu ứng hạt xuất hiện sai vị trí.
Changelog Entries/corruptedKoreanFontDesc	Text		Sửa lỗi khiến văn bản tiếng Hàn bị lỗi hiển thị ký tự (mã hóa font).
Changelog Entries/craftingAuthoringRefactorDesc	Text		CraftingAuthoring hiện sử dụng chuỗi ModdedObjectID khi ObjectID được đặt thành ObjectID.None, chuỗi này sẽ được chuyển thành ObjectID trong thời gian chạy. Các nhà phát triển mod có thể tận dụng thay đổi này để thêm các vật phẩm mod vào bàn chế tạo và các vật dụng tương tự.
Changelog Entries/craftingParchmentMouseExploitDesc	Text		Không còn có thể gian lận chi phí chế tạo của công thức giấy da bằng cách giữ một số vật phẩm yêu cầu trong khe chuột khi hiệu ứng chế tạo kết thúc.
Changelog Entries/creativeBiomeTitlesDesc	Text		Tên các biome không còn hiển thị khi ở chế độ Sáng Tạo.
Changelog Entries/critterTransformDesc	Text		Các sinh vật nhỏ không còn bị lỗi xuyên qua bức tường phía sau chúng.
Changelog Entries/crystalMerchantItemMissingDesc	Text		Sửa lỗi đôi khi Pin Hạt Nhân không rơi ra sau khi chiến thắng Đấu Trường Cổ Đại.
Changelog Entries/crystalMeteorMissingSpriteDesc	Text		Các khối đá trong phân cảnh Sao Băng Pha Lê không còn bị vô hình.
Changelog Entries/crystalSnailsCantDestroyDrillsDesc	Text		Sên Pha Lê không còn phá hủy máy khoan khi di chuyển.
Changelog Entries/cutsceneTheCoreLookupDesc	Text		Khắc phục tình trạng giật lag đột ngột khi kết nối vào thế giới bằng nhân vật mới.
Changelog Entries/deathMarkerColorDesc	Text		Điểm đánh dấu tử trận của người chơi trên bản đồ giờ sẽ có cùng màu với điểm đánh dấu của người chơi đã hi sinh tại đó.
Changelog Entries/deathMarkerIncorrectNameDesc	Text		Sửa lỗi hiển thị sai tên người chơi trên điểm đánh dấu bia mộ trên bản đồ.
Changelog Entries/dedicatedServerSteamInitCrashDesc	Text		Máy chủ chuyên dụng (dedicated server) sẽ không còn bị crash hoàn toàn nếu việc khởi tạo Steam thất bại. Thay vào đó, máy chủ sẽ đóng một cách an toàn kèm theo thông báo nhật ký phù hợp.
Changelog Entries/delayCircuitRefreshFixDesc	Text		Khắc phục lỗi Mạch Trễ không cập nhật nếu chúng được cấp điện bằng Thanh Dẫn Điện và mất đi tín hiệu thứ cấp bằng 2 từ một nguồn khác.
Changelog Entries/destructibleWildernessDebrisDesc	Text		Bình Hoa có thể phá hủy trong Vùng Hoang Dã Của Azeos giờ đây sẽ để lại những mảnh vụn hoa trên mặt đất một cách chính xác khi bị phá hủy.
Changelog Entries/detectSDLoadErrorDesc	Text		Thêm tính năng phát hiện nhiều lỗi khởi động hơn có thể do các bản mod gây ra. Trò chơi hiện sẽ cố gắng khởi động lại mà không chạy mod nếu có thể.
Changelog Entries/dirtWaterFishingInCrystalDesc	Text		Câu cá ở vùng nước thường trong biome Biên Giới Lấp Lánh hoặc Lối Thông không còn khiến người chơi bị kẹt khi cố gắng kéo cá lên.
Changelog Entries/disableMiniMapOnSceneUnloadDesc	Text		Bản đồ nhỏ không còn hiển thị ở menu chính sau khi bị mất kết nối khỏi máy chủ.
Changelog Entries/disableSafeModeOnModDebugDesc	Text		Khi chơi trên nhánh Steam moddebug, game không còn tự động khởi động lại với chế độ tắt mod nếu một bản mod không tải được.
Changelog Entries/disallowAchievementsIfCheatingDesc	Text		Thành tựu Steam sẽ không còn được kích hoạt nếu phát hiện sử dụng lệnh console trong phiên chơi game.
Changelog Entries/dontAllowConsoleIfUsingGamepadDesc	Text		Sửa lỗi khiến bảng điều khiển Quantum Console mở ra nếu người chơi sử dụng tay cầm nhấp vào các nút cụ thể.
Changelog Entries/dontRepeatShowConsoleHelpTextDesc	Text		Trong các phiên chơi game đã bật Quantum Console, sau khi mở một lần, người chơi sẽ chỉ nhận được thông báo hướng dẫn một lần duy nhất. Hộp thoại hướng dẫn này sẽ không xuất hiện lại trong các phiên chơi sau.
Changelog Entries/dontUnloadSprinklersDesc	Text		Vòi phun nước giờ đây vẫn giữ cho nền đất ẩm ướt ngay cả khi không có người chơi nào ở gần.
Changelog Entries/dresserShadowAppearsCorrectWhenRotatedDesc	Text		Bóng của Tủ Quần Áo giờ đã xoay đúng hướng cùng với tủ.
Changelog Entries/drillsDontDamageWalkableTilesDesc	Text		Sửa lỗi khiến máy khoan gây sát thương lên các khối có thể đi lại được (ví dụ: Đường Ray, Băng Chuyền).
Changelog Entries/dungeonGenerationSyncPointDesc	Text		Sửa lỗi gây giật lag mỗi khi một hầm ngục mới bắt đầu khởi tạo. Lỗi này đặc biệt dễ nhận thấy khi tạo thế giới mới trên thiết bị có ít nhân CPU.
Changelog Entries/electricalObjectsNowTryToSendEveryTickDesc	Text		Các cấu trúc điện hiện được cố gắng đồng bộ tới máy khách ở mỗi tick của máy chủ, giúp giảm thiểu sự không nhất quán về hình ảnh khi bật hoặc tắt nguồn.
Changelog Entries/electricalUiImprovementsDesc	Text		Giao diện điện năng giờ có biểu tượng tia sét nhấp nháy và phần mô tả chú giải được cải thiện.
Changelog Entries/electricitySourcesNoLongerFlickerElectricityDesc	Text		Khắc phục lỗi kéo dài từ lâu khi tắt/phá hủy nguồn điện có thể gây ra một tick mất điện hoàn toàn ở các linh kiện được liên kết, ngay cả khi đã kết nối với nguồn điện hoạt động thứ hai.
Changelog Entries/epicAchievementsStopWorkingDesc	Text		Các thành tựu không còn bị ngừng ghi nhận sau khi chơi liên tục hơn một giờ.
Changelog Entries/epicUnleashedCCTrophyDesc	Text		Giảm độ hiếm của Mô Hình Chỉ Huy Lõi Cuồng Nộ từ Huyền Thoại xuống Sử Thi, giúp người chơi có thể xóa vật phẩm này nếu muốn.
Changelog Entries/excavDestructiblePlacementDesc	Text		Hộp Công Nghiệp Kim Loại và Hộp Công Nghiệp Gia Cố không còn hiển thị đè lên Bóng Đèn Tường một cách sai lệch.
Changelog Entries/excavationPuzzleGauntletFixDesc	Text		Cập nhật một phân cảnh câu đố ở Vực Khai Phá để ngăn chặn lỗi kẹt màn (soft lock). Bản sửa lỗi này chỉ áp dụng cho các thế giới chưa tạo phân cảnh này trước khi cập nhật.
Changelog Entries/excavationPuzzleLeadFixDesc	Text		Cập nhật bệ đỡ phân cảnh câu đố ở Vực Khai Phá để chứa Mô Hình Đồ Tể Người Nấm thay vì một vật phẩm thường. Bản sửa lỗi này chỉ áp dụng cho các thế giới chưa tạo phân cảnh này trước khi cập nhật.
Changelog Entries/explosiveWallPoisonEffectDesc	Text		Vụ nổ của Tường Quả Độc giờ đây sẽ kích hoạt hiệu ứng trúng độc một cách chính xác.
Changelog Entries/fallbackCloudSavesDesc	Text		Khắc phục các lỗi ngăn chặn việc truy cập hoặc cập nhật dữ liệu lưu trữ đám mây.
Changelog Entries/fallbackCrossplayDesc	Text		Khắc phục các lỗi ngăn cản người chơi từ các nền tảng phân phối hoặc hệ máy console khác nhau chơi cùng nhau.
Changelog Entries/fallbackFailsToStartDesc	Text		Khắc phục các sự cố khiến trò chơi không thể khởi động bình thường.
Changelog Entries/fallbackFixCrashesDesc	Text		Khắc phục một số lỗi gây sập (crash) game.
Changelog Entries/fallbackGameInputDesc	Text		Khắc phục các sự cố liên quan đến cách trò chơi nhận tín hiệu điều khiển từ tay cầm.
Changelog Entries/fallbackGraphicalIssuesDesc	Text		Khắc phục một số lỗi đồ họa.
Changelog Entries/fallbackHotfix	Text		Bản sửa lỗi khẩn cấp
Changelog Entries/fallbackHotfixDesc	Text		Bản cập nhật này khắc phục một hoặc nhiều sự cố lớn trong trò chơi. Để phát hành nhanh nhất có thể, chúng tôi chưa kịp dịch chi tiết nhật ký thay đổi sang tiếng Anh. Dưới đây là các mô tả khái quát về loại lỗi mà chúng tôi đã sửa. Vui lòng xem nhật ký thay đổi tiếng Anh để biết thêm chi tiết.
Changelog Entries/fallbackImproveStabilityDesc	Text		Cải thiện độ ổn định của trò chơi.
Changelog Entries/fallbackInGameTextDesc	Text		Sửa các lỗi liên quan đến văn bản hoặc bản dịch trong game.
Changelog Entries/fallbackLootDropsDesc	Text		Sửa lỗi rơi thiếu hoặc rơi sai chiến lợi phẩm.
Changelog Entries/fallbackModSupportDesc	Text		Sửa các lỗi liên quan đến tính năng hỗ trợ mod của trò chơi.
Changelog Entries/fallbackMultiplayerConnectivityDesc	Text		Khắc phục sự cố ngăn cản người chơi kết nối với nhau ở chế độ nhiều người chơi.
Changelog Entries/fallbackMultiplayerDesc	Text		Sửa một số lỗi chơi mạng.
Changelog Entries/fallbackNPCDesc	Text		Cải thiện hành vi của NPC.
Changelog Entries/fallbackPerformanceDesc	Text		Khắc phục một số vấn đề hiệu năng.
Changelog Entries/fallbackPhysicsIssuesDesc	Text		Khắc phục các sự cố liên quan đến vật lý trong game.
Changelog Entries/fallbackSaveFilesDesc	Text		Khắc phục các sự cố ngăn cản việc tải hoặc ghi tệp lưu game một cách chính xác.
Changelog Entries/fallbackSecurityDesc	Text		Khắc phục các lỗ hổng bảo mật.
Changelog Entries/fallbackUIDesc	Text		Sửa các lỗi liên quan đến giao diện người dùng trong game.
Changelog Entries/fallbackUpdateLibrariesDesc	Text		Cập nhật các thư viện phụ thuộc của trò chơi.
Changelog Entries/fallbackUpdateUnityDesc	Text		Cập nhật engine Unity của trò chơi.
Changelog Entries/fallbackWorldGenerationDesc	Text		Khắc phục các sự cố liên quan đến quá trình khởi tạo thế giới.
Changelog Entries/filtersWorkOnFishingNetsAndCritterCatcherDesc	Text		Bộ lọc của Tay Máy Robot giờ đây áp dụng chính xác khi rút vật phẩm từ Lưới Đánh Cá và Bẫy Sinh Vật.
Changelog Entries/fiveContributorItemsDesc	Text		Thêm 5 Vật Phẩm Cống Hiến. Đây là các vật phẩm nhằm vinh danh những đóng góp thiết thực của các cá nhân cho trò chơi hoặc cộng đồng.
Changelog Entries/fixAssigningPauseSoftlockDesc	Text		Sửa lỗi gán nút tạm dừng trùng với nút mở bản đồ hoặc túi đồ khiến người chơi không thể truy cập menu tạm dừng, dẫn đến kẹt màn hình (softlock).
Changelog Entries/fixBoatBlockingPlacementDesc	Text		Thuyền không còn cản trở việc đặt các vật thể trên nền đất lân cận.
Changelog Entries/fixClaimedBedCleanupDesc	Text		Sửa lỗi Giường đôi khi không được giải phóng quyền sở hữu khi người chơi thoát game.
Changelog Entries/fixCritterWrongDirectionTerrariumDesc	Text		Sửa lỗi khiến các sinh vật nhỏ trong Bể Sinh Cảnh quay mặt sai hướng.
Changelog Entries/fixCrittersVisibleInTerrariumDesc	Text		Sửa lỗi việc đè bẹp sinh vật nhỏ có thể khiến các sinh vật trong Bể Sinh Cảnh hiển thị không chính xác.
Changelog Entries/fixCrystalSnailAggroDesc	Text		Tay sai và thú cưng không còn tấn công Sên Pha Lê.
Changelog Entries/fixElectricExplosionsDuplicationDesc	Text		Khắc phục lỗi cho phép nhân bản Gói Thuốc Nổ và Gói Chất Nổ Điều Khiển Từ Xa.
Changelog Entries/fixGalaxiteTurretDestroyDelayDesc	Text		Sửa lỗi khiến Tháp Pháo Galaxite mất nhiều thời gian hơn dự kiến để bị phá hủy.
Changelog Entries/fixGiantCicadaBossNeverHealingDesc	Text		Sửa lỗi Nimruza không bao giờ hồi máu mặc dù người chơi đã ở cách rất xa.
Changelog Entries/fixGodModeCreativeModeDesc	Text		Sửa lỗi trong thế giới Sáng Tạo khi không thể kích hoạt Chế Độ Bất Tử (God Mode).
Changelog Entries/fixGroundSlimeOnGlassBridgeDesc	Text		Sửa lỗi xuất hiện ô vuông đen xung quanh Chất Nhầy Nền Đất khi đặt trên Cầu Thủy Tinh.
Changelog Entries/fixHealOtherEntitiesDesc	Text		Sửa lỗi các thực thể hồi máu cho đồng minh xung quanh đôi khi không hồi máu được cho tất cả các mục tiêu hợp lệ trong tầm.
Changelog Entries/fixInvisibleCrystalMeteorsDesc	Text		Các khối đá trong phân cảnh Sao Băng Pha Lê không còn bị vô hình. Lần này là thật đấy!
Changelog Entries/fixLifeStealConditionDesc	Text		Sửa lỗi khiến thuộc tính Hút Máu Khi Cận Chiến (Life on Melee Hit) hoàn toàn không có tác dụng.
Changelog Entries/fixLocksRemainingAfterDeathDesc	Text		Sửa lỗi các ô chứa vật phẩm bị khóa vẫn giữ nguyên trạng thái khóa khi vật phẩm rơi ra sau khi người chơi tử trận.
Changelog Entries/fixManaNotShareCooldownDesc	Text		Thuốc Mana giờ đây có thời gian hồi chiêu riêng biệt và không còn dùng chung thời gian hồi với các vật phẩm tiêu thụ khác.
Changelog Entries/fixMinionsPetsTeleportNearEnemiesDesc	Text		Sửa lỗi tay sai và thú cưng bị dịch chuyển ngược về phía người chơi khi ở gần Kén Tằm.
Changelog Entries/fixNavigationIssueWithSignDesc	Text		Sửa lỗi không thể di chuyển chuột đến trường văn bản của Biển Báo khi sử dụng tay cầm.
Changelog Entries/fixNetworkTooltipUpdateDesc	Text		Khắc phục một số trường hợp hiển thị sai chú giải công cụ khi di chuột qua các nút trạng thái mạng trong menu tạm dừng.
Changelog Entries/fixPasteIssueInTextBoxesDesc	Text		Dán văn bản dài vào hộp nhập liệu giờ đây sẽ dán phần vừa vặn với ô thay vì không hiển thị gì.
Changelog Entries/fixPetsAutoremovedWhenDroppedDesc	Text		Thú cưng mới nở bị thả trên mặt đất không còn bị biến mất khi thế giới được tải lại.
Changelog Entries/fixSaveRollbackCopiedWorldsDesc	Text		Sửa lỗi khi sao chép thế giới từ máy chủ hoặc máy chủ lưu trữ (host) này sang máy chủ khác có thể khiến nhân vật bị hoàn tác (rollback) túi đồ và dữ liệu nhân vật khi tham gia thế giới.
Changelog Entries/fixShortcutsWindowToggleNotVisibleDesc	Text		Sửa lỗi phím tắt để bật/tắt cửa sổ phím tắt không hiển thị.
Changelog Entries/fixSlowDataBlockLoadingDesc	Text		Sửa lỗi một số hệ thống Linux bị treo vài phút trong quá trình khởi động trò chơi.
Changelog Entries/fixSpawningRemovingImmuneTilesDesc	Text		Kẻ thù phá hủy các khối gạch khi xuất hiện không còn có thể phá hủy các khối gạch miễn nhiễm.
Changelog Entries/fixTextAndTranslations1205Desc	Text		Cải thiện văn bản và sửa một số lỗi bản dịch.
Changelog Entries/fixTitansBreathInfiniteAttackDesc	Text		Khắc phục lỗi gian lận (exploit) cho phép bắn Hơi Thở Titan vô hạn mà không tốn mana bằng cách giữ đồng thời cả hai nút tấn công.
