Key	English
Changelog Entries/fixAssigningPauseSoftlockDesc	Fixed assigning pause button for opening map or inventory causing player to be unable to access pause menu, softlocking themselves.
Changelog Entries/fixBoatBlockingPlacementDesc	Boats no longer block object placement on nearby ground.
Changelog Entries/fixClaimedBedCleanupDesc	Fixed Beds sometimes not properly being unclaimed when a player left the game.
Changelog Entries/fixCritterWrongDirectionTerrariumDesc	Fixed an issue that caused critters in Terrariums to face the wrong direction.
Changelog Entries/fixCrittersVisibleInTerrariumDesc	Fixed an issue where squashing critters could cause critters in Terrariums to not display correctly.
Changelog Entries/fixCrystalSnailAggroDesc	Minions and pets no longer target Crystal Snails.
Changelog Entries/fixElectricExplosionsDuplicationDesc	Fixed an issue which made it possible to duplicate the Dynamite Pack and the Remote Explosive Pack.
Changelog Entries/fixGalaxiteTurretDestroyDelayDesc	Fixed an issue that caused Galaxite Turrets to take longer than intended to be destroyed.
Changelog Entries/fixGiantCicadaBossNeverHealingDesc	Fixed an issue where Nimruza never healed up despite players being far away.
Changelog Entries/fixGodModeCreativeModeDesc	Fixed an issue in Creative worlds where God Mode could not be toggled on.
Changelog Entries/fixGroundSlimeOnGlassBridgeDesc	Fixed an issue that caused a black square to appear around Ground Slime when it was placed on Glass Bridges.
Changelog Entries/fixHealOtherEntitiesDesc	Fixed entities that heal nearby allies sometimes failing to heal all valid targets within range.
Changelog Entries/fixInvisibleCrystalMeteorsDesc	Boulders in the Crystal Meteor scene are no longer invisible. For real this time!
Changelog Entries/fixLifeStealConditionDesc	Fixed an issue that caused Life on Melee Hit to have no effect.
Changelog Entries/fixLocksRemainingAfterDeathDesc	Fixed an issue where locked item slots remained locked when the item was dropped after the player died.
Changelog Entries/fixManaNotShareCooldownDesc	Mana Potions now have a separate cooldown and no longer share one with other consumables.
Changelog Entries/fixMinionsPetsTeleportNearEnemiesDesc	Fixed minions and pets being teleported back to the player when near Cocoons.
Changelog Entries/fixNavigationIssueWithSignDesc	Fixed an issue where it was not possible to navigate to a Sign's text field with a gamepad.
Changelog Entries/fixNetworkTooltipUpdateDesc	Fixed several cases where the wrong tooltip would show up when hovering over the network status buttons in the pause menu.
Changelog Entries/fixPasteIssueInTextBoxesDesc	Pasting long texts in input boxes will now paste the part that fits instead of nothing.
Changelog Entries/fixPetsAutoremovedWhenDroppedDesc	Newly hatched pets that have been dropped on the ground are no longer deleted when the world is reloaded.
Changelog Entries/fixSaveRollbackCopiedWorldsDesc	Fixed an issue where copying a world from one server or host to another might lead to characters having their inventory and other character data reverted when joining the world.
Changelog Entries/fixShortcutsWindowToggleNotVisibleDesc	Fixed an issue where the key binding to toggle the shortcut window was not shown.
Changelog Entries/fixSlowDataBlockLoadingDesc	Fixed an issue where some Linux systems experienced several minutes of stalling during game startup.
Changelog Entries/fixSpawningRemovingImmuneTilesDesc	Enemies that destroy tiles when they spawn can no longer destroy immune tiles.
Changelog Entries/fixTextAndTranslations1205Desc	Improved texts and fixed some localization issues.
Changelog Entries/fixTitansBreathInfiniteAttackDesc	Fixed an exploit where the Titan Breath could be fired infinitely without consuming mana by holding both attack buttons simultaneously.
Changelog Entries/fixTooManyNymphsSpawnedDesc	Fixed an issue where Nimruza spawned too many Cicada Nymphs.
Changelog Entries/fixedCharactersNotAppearingCorrectlyDesc	Fixed several issues that caused some characters to not appear correctly in the game in various languages.
Changelog Entries/fixedDesertGuardianPantsArmorFishingLootDesc	Fixed an issue that caused the Desert Guardian Pants to not be included in the Desert of Beginnings fishing loot.
Changelog Entries/fixedHoldToOpenSeasonalItemsDesc	Holding the use button to open seasonal items (such as Winter Presents or Red Envelopes) in quick succession now works correctly once again.
Changelog Entries/fixedQuillRifleProjectileLifetimeDesc	Adjusted the Quill Rifle's projectiles' lifetime.
Changelog Entries/flamethrowerTurretAttackWithoutPlayerDesc	Fixed an issue where Flamethrower Turrets would fail to damage nearby enemies when the player was too far away.
Changelog Entries/forceSleepFixDesc	Fixed an issue where players could still move while being forced to sleep.
Changelog Entries/fourNewAchievementsDesc	Added 4 new achievements.
Changelog Entries/friendlyExplosionDamageDecreasedDesc	Reduced damage and knockback from friendly explosions (weapons and grenades) for players, while remaining unchanged for opposing PvP teams.
Changelog Entries/gainManaOnCritTalantChangeDescDesc	The Mana channeling talent now gives flat Mana instead of a percentage.
Changelog Entries/godModeDurabilityDesc	Items no longer lose durability while the player is in God mode in a Creative world.
Changelog Entries/gravestoneMarkerOverWaypointDesc	Gravestone markers now visually appear over Waypoints and Portals on the map.
Changelog Entries/gravestonesDontBlockWaypointsDesc	Gravestone markers can no longer prevent you from teleporting to a Waypoint or Portal.
Changelog Entries/hideVersionTextDesc	The version number in the top right corner is now correctly only shown while the Settings menu is open.
Changelog Entries/hoeWiresUnderBeltsFixDesc	Using a hoe on Wires beneath Conveyor Belts now correctly removes the Conveyor Belt before removing the Wires.
Changelog Entries/hologramPodTitlesDesc	Improved clarity of the titles in the Ancient Hologram Pod.
Changelog Entries/hydraSummonItemsInHologramPodDesc	After a hydra boss has been killed in a world, their scanner and summoning item will now become available in the Ancient Hologram Pod.
Changelog Entries/impersonatorSyndromeAchievementFixDesc	The Impersonator Syndrome Achievement can now correctly be achieved.
Changelog Entries/improvedCombatTextDisplayDesc	Fixed an issue where identical combat text from multiple sources in the same frame would only display once.
Changelog Entries/improvedNamesTextsTranslations1210Desc	Improved the names and descriptions of certain items, to better follow conventions and improve clarity.
Changelog Entries/increaseNatureCicadaHealthDesc	Increased the health of the Floracada.
Changelog Entries/increasedControllerVibrationDesc	Increased the maximum vibration intensity on controller.
Changelog Entries/increasedDropChanceForNinjaArmorDesc	Increased the drop chance of the Ninja armor set by 200%.
Changelog Entries/increasedMechanicalPartsSoldByMerchantDesc	Increased amount of Mechanical Parts sold by the Cloaked Merchant.
Changelog Entries/introduceCasualCharacterTypeDesc	Introduced a new Casual character type that:
Changelog Entries/ironWorkbenchWoodPlankCostDesc	Iron Workbench now costs Planks instead of Wood.
Changelog Entries/itemCollectorTeleportEffectsDesc	The Item Collector no longer plays the second teleportation effect if the item was not dropped due to electricity being interrupted.
Changelog Entries/labelingChestsDesc	Added the ability to label chests.
Changelog Entries/lagSpikeBossOffscreenDesc	Fixed lag spikes that would sometimes happen when bosses temporarily went off-screen.
Changelog Entries/largeQuarryTimberRotatesCorrectlyDesc	The Large Quarry Timber's position when placed on the ground now correctly matches its visual placement indicator, and the item now shows a rotated sprite when facing upwards.
Changelog Entries/lessIntrusiveLocalizationWarningsDesc	Warnings about missing localizations in the TextDataBlock editor are now less intrusive and more descriptive.
Changelog Entries/madeElectricalDoorPaintableDesc	The Electrical Door is now paintable.
Changelog Entries/madeRobotArmFilterableDesc	Robot Arms are now capable of filtering items.
Changelog Entries/magicMirrorNakedDesc	Using the Magic Mirror no longer makes the character appear naked to other clients in the same session.
Changelog Entries/makeAzeosScannerCostFeathersAgainDesc	Azeos the Sky Titan Scanner once again requires Ancient Feathers to be crafted.
Changelog Entries/malugazTeleportRadiusDesc	Malugaz should no longer be able to teleport outside his combat arena.
Changelog Entries/mapBlankGamepadDesc	The map is no longer initially blank when opened at high zoom levels using a gamepad.
Changelog Entries/mapMarkerIconDelayDesc	Map markers on the minimap no longer have the wrong icon for one frame after using a scanner.
Changelog Entries/masterVolumeControlDesc	Added a Master volume option.
Changelog Entries/meadowMilkCanNowBeCookedDesc	Meadow Milk can now be cooked.
Changelog Entries/menuInitializeLoadTimeDesc	Improved how menus are initialized to reduce the game’s load time.
Changelog Entries/minigunDisabledWhenBrokenDesc	The Scrap Minigun can no longer be charged up when at 0 durability.
Changelog Entries/minionDetonatorNotAffectNaturallyDyingMinionsDesc	Fixed minion detonators activating when a minion’s lifetime ended, which caused the minions to explode with no player input.
Changelog Entries/minionDetonatorWrongSalvageMaterialDesc	The Minion Kindler should now drop the correct materials when salvaged.
Changelog Entries/minionMoldSlowDesc	Minions should now be correctly slowed by mold ground.
Changelog Entries/minionNotMovingFixDesc	Fixed an issue that caused minions not to immediately follow a command when told to move to the same location without moving the cursor.
Changelog Entries/minionsIgnoresImmuneBossesDesc	Fixed an issue that caused minions to attempt to attack bosses while they were immune to damage.
Changelog Entries/missingABFLootDesc	Fixed a bug where some Abiotic Factor loot was not dropping.
Changelog Entries/missingCrossplayTranslationMSDesc	Added a missing translation for the Multiplayer Connectivity option.
Changelog Entries/missingFishingLootMessageDesc	"""Fixed a bug where the """"caught fish"""" chat message did not appear if you immediately threw the hook back into the water while having a bait equipped."""
Changelog Entries/missingNatureCicadaLootDesc	Fixed a bug where Floracadas would not drop any loot.
Changelog Entries/missingPouchIconsDesc	Fixed a bug where inventory slots added by pouches would sometimes not show the background icon indicating which item type can be placed there.
Changelog Entries/missingTutorialRecipeHighlightsDesc	Fixed a bug where recipe slots would not highlight at the correct times during the in-game tutorial.
Changelog Entries/modDependencyMarkerDesc	Mods that are automatically installed because they are dependencies of other mods are now marked as dependencies in the mod menus. They also can no longer be uninstalled manually unless you first uninstall all mods that require them as dependencies. 
Changelog Entries/modDevConsoleCommandsDesc	QuantumConsole is now accessible to mod developers and can be switched on by setting MenuManager.enableConsole to true. It can then be opened in-game via CTRL + X.
Changelog Entries/modLocalizedDownloadSizeDesc	ModIO mod collection menu now displays mod size in localized “megabytes/kilobytes/bytes” text whenever unsubscribing from a mod.
Changelog Entries/moddedPoolDefaultSizeDesc	When creating a new Pooled Mod Graphical Object Bank instance, the default sizes will now be 8 for Initial Size, 8 for Max Free Size and 1024 for Max Size.
Changelog Entries/moddingCKUsesSDBsDesc	Core Keeper now uses ScriptableDataBlocks which are just like ScriptableObjects but hold an address synced to the assets' GUID.
Changelog Entries/moddingGradientMapChangesDesc	Gradient Maps are now stored as a texture array inside of GradientMapDataBlocks.
Changelog Entries/moddingPlayerCustomizationTableChangesDesc	PlayerCustomizationTable is now PlayerCustomizationTableDataBlock.
Changelog Entries/moddingSpriteAssetChangesDesc	SpriteAssets are now SpriteAssetDataBlocks.
Changelog Entries/moddingSpriteAssetSkinChangesDesc	SpriteAssetSkins are now SpriteAssetSkinDataBlocks.
Changelog Entries/moddingSpriteObjectReferencesDesc	Sprite Objects now reference SpriteAssetDataBlocks and GradientMapDataBlocks.
Changelog Entries/moddingSteamWorksLoadingAddedDesc	Mods can now be loaded from Steam Workshop as well.
Changelog Entries/mouseCursorSpriteAssetDesc	The mouse cursor has been upgraded to use a SpriteAsset, which can now be modded via ScriptableData Editor Window.
Changelog Entries/mouseGamepadMovementBlockDesc	Holding an item and closing the inventory while using a gamepad no longer results in a noticeable delay before the character can move again.
Changelog Entries/movedLitFloorDesc	Moved the Lit Floor to Carpenter's Table.
Changelog Entries/movedStorageFullCheckLocationDesc	Moved the moment when the game checks for full storage to happen later, to allow for deleting worlds when this occurs.
Changelog Entries/movedTableSawDesc	The Table Saw has been moved to the Tin Workbench.
Changelog Entries/msStoreCrashUponQuitDesc	Fixed a crash while quitting the game.
Changelog Entries/multiSelectTrashDesc	You can now select multiple items at once when trashing items.
Changelog Entries/newAndImprovedLoadingAnimationDesc	Added a new loading animation that is displayed before the logos when the game starts.
